Hotel_Name,Hotel_Address,Additional_Number_of_Scoring,Average_Score,Review_Total_Negative_Word_Counts,Total_Number_of_Reviews,Review_Total_Positive_Word_Counts,lat,lng
NH Collection Amsterdam Doelen,Nieuwe Doelenstraat 24 Amsterdam City Center 1012 CP Amsterdam Netherlands,179,8.8,5916,1251,6422,52.3681919,4.8957609
Hotel Die Port van Cleve,Nieuwezijds Voorburgwal 176 180 Amsterdam City Center 1012 SJ Amsterdam Netherlands,191,8,6692,1189,5688,52.3741426,4.8907741
INK Hotel Amsterdam MGallery by Sofitel,Nieuwezijds Voorburgwal 67 Amsterdam City Center 1012 RE Amsterdam Netherlands,440,8.9,14880,2574,18032,52.3754926,4.8929878
Inntel Hotels Amsterdam Centre,Nieuwezijdskolk 19 Amsterdam City Center 1012 PV Amsterdam Netherlands,538,8.2,11955,3342,12936,52.3760456,4.8943917
Apex City Of London Hotel,No 1 Seething Lane City of London London EC3N 4AX United Kingdom,623,9,13753,2750,20602,51.5104624,-0.0795502
Mercure Hotel Amsterdam Centre Canal District,Noorderstraat 46 Amsterdam City Center 1017 TV Amsterdam Netherlands,142,8.2,4715,890,4457,52.3611852,4.8936341
Onix Liceo,Nou de la Rambla 36 Ciutat Vella 08001 Barcelona Spain,98,8.1,5204,1257,3927,41.3780229,2.1730782
Abba Sants,Numancia 32 Sants Montju c 08029 Barcelona Spain,75,8.2,1967,964,1852,41.3825777,2.1400103
NH Sants Barcelona,Numancia 74 Les Corts 08029 Barcelona Spain,62,8.2,1909,1122,1870,41.384591,2.1378107
COMO Metropolitan London,Old Park Lane Westminster Borough London W1K 1LB United Kingdom,122,9,2105,416,2169,51.5050355,-0.1500864
Aloft London Excel,One Eastern Gateway Royal Victoria Dock Newham London E16 1FR United Kingdom,694,8.7,21822,2332,19505,51.5083719,0.0355768
Ham Yard Hotel,One Ham Yard Westminster Borough London W1D 7DT United Kingdom,96,9.5,1836,314,2330,51.511174,-0.1349904
DoubleTree by Hilton Amsterdam Centraal Station,Oosterdoksstraat 4 Amsterdam City Center 1011 DK Amsterdam Netherlands,803,8.4,21668,3911,21503,52.376752,4.904618
Das Opernring Hotel,Opernring 11 01 Innere Stadt 1010 Vienna Austria,105,8.9,2362,1267,4587,48.2026449,16.3671054
Exe Vienna,Ottakringer Stra e 34 36 17 Hernals 1170 Vienna Austria,201,7.7,9231,2667,6407,48.2149414,16.3365285
Mercure Hotel Amsterdam West,Oude Haagseweg 20 Slotervaart 1066 BW Amsterdam Netherlands,215,7.8,11632,1945,8805,52.3375677,4.8178172
Luxury Suites Amsterdam,Oudeschans 75 Amsterdam City Center 1011 KW Amsterdam Netherlands,125,9.3,2793,720,6519,52.3702613,4.9032489
Sofitel Legend The Grand Amsterdam,Oudezijds Voorburgwal 197 Amsterdam City Center 1012 EX Amsterdam Netherlands,144,9.2,2097,870,3376,52.370835,4.895403
Sir Adam Hotel,Overhoeksplein 7 Amsterdam Noord 1031 KS Amsterdam Netherlands,48,9,2001,361,3218,52.3840358,4.9028572
Hotel Grums Barcelona,Palaud ries 26 Sants Montju c 08004 Barcelona Spain,156,8.3,5259,1494,4759,41.3727844,2.1721134
Hotel Spa Villa Olimpica Suites,Pallars 121 125 Sant Mart 08018 Barcelona Spain,305,8,13572,3565,8954,41.3971434,2.1921947
Sall s Hotel Pere IV,Pallars 128 130 Sant Mart 08018 Barcelona Spain,252,7.9,12965,3130,9839,41.3969273,2.192267
Hampton by Hilton Amsterdam Centre East,Panama Laan 188 196 Zeeburg 1019 AZ Amsterdam Netherlands,192,8.4,6469,1769,7718,52.3714428,4.9346331
Hotel Beethoven Wien,Papagenogasse 6 06 Mariahilf 1060 Vienna Austria,62,8.9,1803,578,4015,48.2000165,16.3641802
Roomz Vienna,Paragonstra e 1 11 Simmering 1110 Vienna Austria,36,8.1,623,568,888,NA,NA
Silken Concordia,Paral lel 115 Sants Montju c 08004 Barcelona Spain,110,8.2,3816,1034,2837,41.3747873,2.1611846
Grosvenor House A JW Marriott Hotel,Park Lane Westminster Borough London W1K 7TN United Kingdom,184,7.9,5182,564,3290,51.5082019,-0.1545589
Hotel Am Parkring,Parkring 12 01 Innere Stadt 1010 Vienna Austria,251,9,4815,2304,9746,48.2056333,16.3778615
Vienna Marriott Hotel,Parkring 12a 01 Innere Stadt 1010 Vienna Austria,130,8.2,3794,939,2443,48.2050967,16.3770928
H10 Port Vell 4 Sup,Pas de Sota Muralla 9 Ciutat Vella 08003 Barcelona Spain,146,9.2,4547,1261,8425,41.3815625,2.1838458
Hotel Margot House,Paseo de Gracia 46 Eixample 08007 Barcelona Spain,42,9.4,1702,335,1881,41.3918805,2.1660363
Condes de Barcelona,Paseo de Gracia 73 Eixample 08008 Barcelona Spain,163,8.7,4876,1319,4504,41.3935497,2.1627098
Monument Hotel,Paseo de Gracia 75 Eixample 08008 Barcelona Spain,132,9.3,2555,849,5288,41.3939082,2.1622556
Occidental Atenea Mar Adults Only,Paseo Garc a Faria 37 47 Sant Mart 08019 Barcelona Spain,241,8.2,11935,2500,9718,41.4023621,2.2119049
Hotel Front Maritim,Paseo Garc a I Faria 69 71 Sant Mart 08019 Barcelona Spain,81,7.5,4011,747,2133,41.4037972,2.213767
AC Hotel Barcelona Forum a Marriott Lifestyle Hotel,Paseo Taulat 278 Sant Mart 08019 Barcelona Spain,160,8.1,6250,1560,4331,41.4101306,2.2188047
Duquesa de Cardona,Passeig Colom 12 Ciutat Vella 08002 Barcelona Spain,156,8.9,3948,904,5417,41.3798658,2.1805271
Hotel The Serras,Passeig de Colom 9 Ciutat Vella 08002 Barcelona Spain,102,9.6,1680,604,5650,41.3801815,2.180688
Eurostars Bcn Design,Passeig de Gr cia 29 Eixample 08007 Barcelona Spain,172,8.3,5082,1601,4559,41.3907208,2.1660732
Mandarin Oriental Barcelona,Passeig de Gr cia 38 40 Eixample 08007 Barcelona Spain,44,9,1015,283,913,41.391393,2.1668467
Hotel Casa Fuster G L Monumento,Passeig de Gracia 132 Gr cia 08008 Barcelona Spain,101,9,3904,935,3972,41.3980162,2.1581229
Sixtytwo Hotel,Passeig de Gracia 62 Eixample 08007 Barcelona Spain,129,9.2,1747,1010,5513,41.3930168,2.1646148
Majestic Hotel Spa Barcelona GL,Passeig de Gracia 68 Eixample 08007 Barcelona Spain,337,8.9,6811,1769,7693,41.3935179,2.1639813
Royal Passeig de Gracia,Passeig de Gracia 84 Eixample 08008 Barcelona Spain,393,8.6,12174,3823,12573,41.3946775,2.162638
K K Hotel Picasso,Passeig de Picasso 26 30 Ciutat Vella 08003 Barcelona Spain,211,8.9,6115,1517,10565,41.3866227,2.1840722
AC Hotel Sants a Marriott Lifestyle Hotel,Passeig de Sant Antoni 36 40 Sants Montju c 08014 Barcelona Spain,42,8,1370,575,1366,41.3775577,2.1384686
Hilton Diagonal Mar Barcelona,Passeig del Taulat 262 264 Sant Mart 08019 Barcelona Spain,71,7.9,3667,503,2031,41.4084334,2.2178205
Hotel Palais Strudlhof,Pasteurgasse 1 09 Alsergrund 1090 Vienna Austria,84,8.7,1914,1356,2675,48.2217697,16.3578738
Renaissance Barcelona Hotel,Pau Clar s 122 Eixample 08009 Barcelona Spain,20,7.6,807,104,240,NA,NA
Claris Hotel Spa GL,Pau Claris 150 Eixample 08009 Barcelona Spain,154,8.6,4358,931,4344,41.3944848,2.1651078
H10 Casa Mimosa 4 Sup,Pau Claris 179 Eixample 08037 Barcelona Spain,56,9.6,1445,454,3165,41.3962106,2.1621171
Catalonia Ramblas 4 Sup,Pelai 28 Ciutat Vella 08002 Barcelona Spain,532,8.6,16579,4276,14587,41.3856387,2.1668274
Hotel Midmost,Pelayo 14 Ciutat Vella 08001 Barcelona Spain,72,9.2,1169,460,2351,41.3856173,2.1659487
Arthotel ANA Westbahn,Pelzgasse 1 15 Rudolfsheim F nfhaus 1150 Vienna Austria,37,8.3,1162,450,1580,48.1979514,16.336318
The Rookery,Peters Lane Cowcross Street Islington London EC1M 6DS United Kingdom,146,9.1,3550,501,5492,51.520171,-0.102463
Hotel Wandl,Petersplatz 9 01 Innere Stadt 1010 Vienna Austria,173,8.5,5339,1799,4660,48.2097026,16.3703902
Hotel Sacher Wien,Philharmoniker Stra e 4 01 Innere Stadt 1010 Vienna Austria,60,9.5,1483,632,3154,48.2038793,16.3698086
ME Milan Il Duca,Piazza della Repubblica 13 Central Station 20124 Milan Italy,93,9.2,1788,683,2384,45.4793852,9.1961308
Hotel Principe Di Savoia,Piazza Della Repubblica 17 Central Station 20124 Milan Italy,241,9.1,2882,1543,4729,45.479888,9.1962982
The Westin Palace,Piazza della Repubblica 20 Central Station 20124 Milan Italy,116,8.5,2868,736,2591,45.4790357,9.199028
Glam Milano,Piazza Duca D Aosta 4 6 Central Station 20124 Milan Italy,639,8.8,25676,7371,30083,45.4838504,9.2034067
Excelsior Hotel Gallia Luxury Collection Hotel,Piazza Duca D Aosta 9 Central Station 20124 Milan Italy,185,9.4,3512,1345,6888,45.4857027,9.2020127
Rosa Grand Milano Starhotels Collezione,Piazza Fontana 3 Milan City Center 20122 Milan Italy,563,8.6,11841,4000,9343,45.4638223,9.1940273
TownHouse 12,Piazza Gerusalemme 12 Sempione 20154 Milan Italy,26,8.1,1547,370,1421,45.4844028,9.1673528
Hotel Mozart,Piazza Gerusalemme 6 Sempione 20154 Milan Italy,323,8,8600,4015,8919,45.4834133,9.1666361
Hotel Dei Cavalieri,Piazza Giuseppe Missori 1 Milan City Center 20123 Milan Italy,301,8.4,12196,3445,10431,45.4608547,9.1886179
Best Western Plus Hotel Galles,Piazza Lima 2 Central Station 20124 Milan Italy,298,8.5,10966,3550,11856,45.4805847,9.2117326
Starhotels Anderson,Piazza Luigi di Savoia 20 Central Station 20124 Milan Italy,264,8.7,9238,2698,9681,45.4852549,9.2069501
Hotel Michelangelo,Piazza Luigi di Savoia 6 Central Station 20124 Milan Italy,347,8.4,7448,3510,11556,45.4845143,9.2057532
Hotel Mercure Milano Centro,Piazza Oberdan 12 Milan City Center 20129 Milan Italy,47,8.4,935,515,1529,45.4747809,9.2059385
NYX Milan,Piazza Quattro Novembre 3 Central Station 20124 Milan Italy,121,8.8,4418,1056,3696,45.4868745,9.2018406
The Yard Milano,Piazza XXIV Maggio 8 Milan City Center 20123 Milan Italy,103,9.2,1935,786,4406,45.453152,9.179172
Hotel Sunflower,Piazzale Lugano 10 Bovisa 20158 Milan Italy,33,7.6,1099,594,582,45.498503,9.1664111
Sheraton Grand London Park Lane,Piccadilly Westminster Borough London W1J 7BX United Kingdom,91,8.1,2804,376,1304,51.5092876,-0.1370062
M venpick Hotel Amsterdam City Centre,Piet Heinkade 11 Zeeburg 1019 BR Amsterdam Netherlands,338,8.4,10418,1925,9790,52.3781016,4.9142508
Silken Ramblas,Pintor Fortuny 13 Ciutat Vella 08001 Barcelona Spain,184,7.9,8447,1949,5611,41.3830117,2.1700699
Duquesa Suites Barcelona,Pla a Antonio L pez 5 Ciutat Vella 08002 Barcelona Spain,117,9.1,4686,946,6982,41.3810421,2.1814294
Hotel SB Diagonal Zero Barcelona 4 Sup,Pla a de Llevant s n Sant Mart 08019 Barcelona Spain,488,8.2,21323,4645,18110,41.4111652,2.2192012
Hotel DO Pla a Reial G L ,Pla a Reial 1 Ciutat Vella 08001 Barcelona Spain,40,9.3,1599,252,2884,41.3799929,2.1748256
W Barcelona,Pla a Rosa dels Vents 1 Passeig Joan de Borbo Ciutat Vella 08039 Barcelona Spain,332,8.5,14643,2708,9853,41.368437,2.1901534
H10 Urquinaona Plaza,Pla a Urquinaona 2 Eixample 08010 Barcelona Spain,205,9.1,6796,1875,10921,41.3892128,2.1726015
Hotel du Louvre in the Unbound Collection by Hyatt,Place Andr Malraux 1st arr 75001 Paris France,172,8.3,5010,1120,4712,48.8639788,2.3352615
W Paris Op ra,Place de l Op ra 4 rue Meyerbeer 9th arr 75009 Paris France,32,8.2,830,150,470,48.8719697,2.3316014
Hotel Miramar Barcelona GL,Plaza Carlos Iba ez 3 Sants Montju c 08038 Barcelona Spain,109,8.7,5040,977,4441,41.3703041,2.17141
Olivia Plaza Hotel,Plaza de Catalunya 19 Ciutat Vella 08002 Barcelona Spain,315,9.3,6730,2757,18867,41.3861459,2.1711594
Catalonia Barcelona Plaza,Plaza Espa a 6 8 Sants Montju c 08014 Barcelona Spain,419,8.4,21496,4527,17880,41.3750293,2.1491172
Barcel Sants,Plaza Paisos Catalans s n Sants Montju c 08014 Barcelona Spain,420,8.6,13893,4379,17233,41.3798964,2.1412433
London Marriott Maida Vale,Plaza Parade Camden London NW6 5RP United Kingdom,278,8.1,9653,1042,7158,51.5357597,-0.1902591
The Langham London,Portland Place Westminster Borough London W1B 1JA United Kingdom,375,9.3,6929,1276,10927,51.517876,-0.1440647
The Ned,Poultry 27 City of London London EC2R 8AJ United Kingdom,175,9.3,6437,517,5697,51.5135929,-0.0907833
Sofitel Vienna Stephansdom,Praterstra e 1 02 Leopoldstadt 1020 Vienna Austria,137,9,2719,1148,3173,48.212857,16.37986
Grand Hotel Amr th Amsterdam,Prins Hendrikkade 108 Amsterdam City Center 1011 AK Amsterdam Netherlands,207,8.3,13640,1530,10345,52.3744149,4.9041443
art otel Amsterdam,Prins Hendrikkade 33 Amsterdam City Center 1012 TM Amsterdam Netherlands,482,9,14462,3158,14153,52.377743,4.897057
NH Collection Amsterdam Barbizon Palace,Prins Hendrikkade 59 72 Amsterdam City Center 1012 AD Amsterdam Netherlands,493,8.6,14379,2865,12837,52.3764175,4.9002201
Pulitzer Amsterdam,Prinsengracht 315 331 Amsterdam City Center 1016 GZ Amsterdam Netherlands,182,9.1,4300,909,6296,52.3728353,4.883326
Dikker en Thijs Fenice Hotel,Prinsengracht 444 Amsterdam City Center 1017 KE Amsterdam Netherlands,278,8.4,8435,1971,10817,52.364971,4.8839827
Andaz Amsterdam Prinsengracht A Hyatt Hotel,Prinsengracht 587 Amsterdam City Center 1067 HT Amsterdam Netherlands,145,9.3,3386,851,3822,52.3678368,4.8830788
Hotel Seven One Seven,Prinsengracht 717 Amsterdam City Center 1017 JW Amsterdam Netherlands,18,8.8,371,61,274,52.3648077,4.8853962
citizenM Amsterdam,Prinses Irenestraat 30 Zuideramstel 1077 WX Amsterdam Netherlands,726,8.6,21841,4530,28653,52.3419432,4.8759604
InterContinental Amstel Amsterdam,Professor Tulpplein 1 Amsterdam City Center 1018 GX Amsterdam Netherlands,29,9,584,151,584,52.3600068,4.9051643
Attica 21 Barcelona Mar,Proven als 10 Sant Mart 08019 Barcelona Spain,109,8.1,3444,926,3665,41.4052324,2.2117289
Hotel America Barcelona,Provenza 195 Eixample 08008 Barcelona Spain,34,8.7,940,310,1498,41.3919083,2.1573318
Golden Tulip Amsterdam Riverside,Provincialeweg 38 Zuidoost 1108 AB Amsterdam Netherlands,245,7.5,14769,2362,8708,52.3154533,4.9962997
Catalonia Park Putxet,Putget 68 Sarri St Gervasi 08023 Barcelona Spain,258,7.4,11233,3590,7887,41.4072812,2.1443116
Hotel Murmuri Barcelona,Rambla Catalunya 104 Eixample 08008 Barcelona Spain,76,8.8,1398,375,1447,41.3941625,2.1597836
NH Collection Barcelona Gran Hotel Calder n,Rambla Catalunya 26 Eixample 08007 Barcelona Spain,112,8.8,3088,1072,3263,41.3894654,2.1662651
H10 Metropolitan 4 Sup,Rambla Catalunya 7 9 Eixample 08007 Barcelona Spain,252,9.2,6171,1834,12061,41.3875467,2.1673975
HCC Regente,Rambla de Catalunya 76 Eixample 08008 Barcelona Spain,36,8.1,1461,354,1331,41.3922919,2.1622256
Barcel Raval,Rambla del Raval 17 21 Ciutat Vella 08001 Barcelona Spain,256,8.4,10955,2254,10081,41.3790126,2.1696339
Le M ridien Barcelona,Ramblas 111 Ciutat Vella 08002 Barcelona Spain,85,8.2,1884,451,1258,41.3837453,2.171014
Ilunion Barcelona,Ramon Turr 196 198 Sant Mart 08005 Barcelona Spain,396,7.9,12928,3944,11238,41.3989322,2.2024183
Austria Trend Hotel Rathauspark Wien,Rathausstra e 17 01 Innere Stadt 1010 Vienna Austria,195,8.5,5913,1884,5803,48.2133054,16.3567884
Hotel Landhaus Fuhrgassl Huber,Rathstra e 24 Neustift am Walde 19 D bling 1190 Vienna Austria,37,9,624,719,1835,48.2508693,16.304957
Hotel Parco di Sch nbrunn Vienna,Ratschkygasse 32 12 Meidling 1120 Vienna Austria,26,7.9,2415,576,894,48.1776236,16.3243588
Catalonia Born,Rec Comtal 16 18 Ciutat Vella 08003 Barcelona Spain,211,8.8,7016,2094,10071,41.3896916,2.1798661
NH Amsterdam Caransa,Rembrandtplein 19 Amsterdam City Center 1017 CT Amsterdam Netherlands,137,7.9,5334,966,4371,52.3664077,4.8969091
NH Amsterdam Schiller,Rembrandtplein 26 36 Amsterdam City Center 1017 CV Amsterdam Netherlands,224,7.7,12725,1667,7384,52.3657092,4.8966912
Royal Amsterdam Hotel,Rembrandtplein 44 Amsterdam City Center 1017 CV Amsterdam Netherlands,76,7.4,3345,627,2149,52.3657281,4.8972883
Lindner Hotel Am Belvedere,Rennweg 12 03 Landstra e 1030 Vienna Austria,60,8.4,2411,790,1287,48.1955998,16.3826989
NH Wien Belvedere,Rennweg 12a 03 Landstra e 1030 Vienna Austria,105,8.4,3617,1191,4267,48.1954348,16.383429
Austria Trend Hotel Savoyen Vienna,Rennweg 16 03 Landstra e 1030 Vienna Austria,370,8.9,10624,4016,15132,48.1950444,16.3844751
Austria Trend Hotel Doppio Wien,Rennweg 99 Rinnboeckstrasse 1 03 Landstra e 1030 Vienna Austria,207,8.7,5383,3010,5773,48.1854312,16.404884
K West Hotel Spa,Richmond Way Hammersmith and Fulham London W14 0AX United Kingdom,509,8.4,15169,1560,13155,51.5013149,-0.2174459
Appartement Hotel an der Riemergasse,Riemergasse 8 01 Innere Stadt 1010 Vienna Austria,94,9.2,2783,969,4994,48.2071576,16.3765913
Saint SHERMIN bed breakfast champagne,Rilke Platz 7 04 Wieden 1040 Vienna Austria,66,9,2757,651,3698,48.1978409,16.367087
The Wittmore Adults Only,Riudarenes 7 Ciutat Vella 08002 Barcelona Spain,43,9.4,1246,217,2397,41.380939,2.1796095
Le Meridien Vienna,Robert Stolz Platz 1 01 Innere Stadt 1010 Vienna Austria,299,8.3,11301,2393,7032,48.2027296,16.3661211
The College Hotel,Roelof Hartstraat 1 Oud Zuid 1071 VE Amsterdam Netherlands,72,8.3,4335,561,2647,52.3527675,4.88373
Hotel Roemer Amsterdam,Roemer Visscherstraat 8 10 Oud West 1054 EV Amsterdam Netherlands,119,8.3,6190,974,6054,52.3617577,4.8780052
Hotel mbit Barcelona,Roger de Ll ria 17 Eixample 08010 Barcelona Spain,127,8.9,4001,1498,6647,41.3907821,2.1717426
Catalonia Eixample 1864,Roger de Ll ria 60 Eixample 08009 Barcelona Spain,237,8.3,9686,2372,7837,41.393599,2.1684151
Negresco Princess 4 Sup,Roger de Lluria 16 18 Eixample 08010 Barcelona Spain,229,8.9,9381,2369,11939,41.3905166,2.1725643
Petit Palace Barcelona,Roger De Lluria 21 Esq Gran Via 662 Eixample 08037 Barcelona Spain,90,7.9,3278,1148,2559,41.3909816,2.1714938
Roger de Ll ria,Roger de Lluria 28 Eixample 08010 Barcelona Spain,79,8.5,1676,596,2056,41.3910786,2.1717285
Hotel Garbi Millenni,Ronda Sant Pau 14 Ciutat Vella 08001 Barcelona Spain,56,7.6,1630,549,994,41.3759896,2.167148
Vincci Gala,Ronda Sant Pere 32 Eixample 08010 Barcelona Spain,92,8.9,2234,913,3043,41.3895263,2.1747136
Catalonia Square 4 Sup,Ronda Sant Pere 9 Eixample 08010 Barcelona Spain,198,9.4,4259,1711,11520,41.3885658,2.1712991
H10 Universitat,Ronda Universitat 21 Eixample 08007 Barcelona Spain,137,8.5,4676,1403,5174,41.3869565,2.1665338
Hotel Regina,Rooseveltplatz 15 09 Alsergrund 1090 Vienna Austria,165,8.4,4727,1948,5507,48.2163343,16.3595536
Bcn Urban Hotels Gran Rosellon,Rosell n 174 176 Eixample 08036 Barcelona Spain,164,8.5,6578,2383,6645,41.4226648,2.1464261
Gallery Hotel,Rossell 249 Eixample 08008 Barcelona Spain,115,9.1,3717,953,5112,41.3949242,2.1593099
Hotel Omm,Rossell 265 Eixample 08008 Barcelona Spain,91,8.9,1665,631,2178,41.3962468,2.1609551
Ayre Hotel Rosell n,Rossell 390 Eixample 08025 Barcelona Spain,215,8.7,7715,2359,11379,41.4047382,2.1727127
Evenia Rossello,Rossello 191 Eixample 08036 Barcelona Spain,37,8.2,1228,690,1294,41.3920254,2.1554675
Hotel Imlauer Wien,Rotensterngasse 10 02 Leopoldstadt 1020 Vienna Austria,129,8.5,3076,1152,2798,48.2176776,16.3821364
Hotel Nestroy Wien,Rotensterngasse 7a 02 Leopoldstadt 1020 Vienna Austria,75,8.1,1935,682,1793,48.2178332,16.3821636
Hotel Lam e,Rotenturmstra e 15 01 Innere Stadt 1010 Vienna Austria,78,8.7,2857,866,3250,48.2102677,16.3741269
Crowne Plaza London Docklands,Royal Victoria Dock Western Gateway Newham London E16 1AL United Kingdom,879,8.8,28466,2768,27313,51.5083537,0.0198855
K K Palais Hotel,Rudolfsplatz 11 01 Innere Stadt 1010 Vienna Austria,120,8.6,3327,992,4302,48.2138096,16.3714293
Radisson Blu Hotel Amsterdam,Rusland 17 Amsterdam City Center 1012 CK Amsterdam Netherlands,827,8.6,21724,4593,19007,52.3702469,4.8966743
Catalonia Rigoletto,Sabino de Arana 22 24 Les Corts 08028 Barcelona Spain,147,8.6,3840,1562,4572,41.385817,2.1256789
Hotel Neri,San Sever 5 Ciutat Vella 08002 Barcelona Spain,42,9.2,1218,177,2231,41.3832498,2.1753483
Capri by Fraser Barcelona,Sancho de vila 32 34 Sant Mart 08018 Barcelona Spain,289,8.8,8135,2988,12156,41.3976233,2.188975
Hotel Espa a Ramblas,Sant Pau 9 11 Ciutat Vella 08001 Barcelona Spain,293,8.7,10999,1908,12559,41.3799209,2.1728181
Abba Garden,Santa Rosa Esplugues 33 08950 Barcelona Spain,72,7.9,3377,959,2223,41.3854716,2.1018835
Zenit Barcelona,Santal 8 Sarri St Gervasi 08021 Barcelona Spain,56,8.1,1391,645,1506,41.3949199,2.1468594
Hyatt Regency Amsterdam,Sarphatistraat 104 Amsterdam City Center 1018 GV Amsterdam Netherlands,61,8.8,1442,293,1461,52.3617751,4.9118187
Austria Trend Hotel Schloss Wilhelminenberg Wien,Savoyenstra e 2 16 Ottakring 1160 Vienna Austria,86,8.3,4202,1558,4294,NA,NA
Copthorne Tara Hotel London Kensington,Scarsdale Place Kensington Kensington and Chelsea London W8 5SY United Kingdom,1831,8.1,67252,7105,50067,51.499046,-0.1917073
Courtyard by Marriott Vienna Schoenbrunn,Sch nbrunner Schlossstra e 38 40 12 Meidling 1120 Vienna Austria,42,8.3,2006,625,1811,48.184732,16.3211959
Arthotel ANA Prime,Sch nbrunner Stra e 41 05 Margareten 1050 Vienna Austria,144,8.4,5329,1813,5775,48.1925582,16.3576071
Fletcher Hotel Amsterdam,Schepenbergweg 50 Zuidoost 1105 AT Amsterdam Netherlands,315,7.8,17151,3773,10485,52.2924567,4.9444338
Austria Trend Hotel Park Royal Palace Vienna,Schlossallee 8 14 Penzing 1140 Vienna Austria,251,8.8,8130,3667,8668,48.191339,16.3165873
Falkensteiner Hotel Wien Zentrum Schottenfeld,Schottenfeldgasse 74 07 Neubau 1070 Vienna Austria,69,8.3,1842,977,1698,48.2048494,16.343618
Hilton Vienna Plaza,Schottenring 11 01 Innere Stadt 1010 Vienna Austria,196,8.6,6153,1531,4618,48.2155236,16.3646858
Palais Hansen Kempinski Vienna,Schottenring 24 01 Innere Stadt 1010 Vienna Austria,111,9.2,2574,865,3785,48.2163149,16.3685103
Hotel de France Wien,Schottenring 3 01 Innere Stadt 1010 Vienna Austria,416,8.5,16577,5177,15807,48.2146623,16.3627994
Grand Ferdinand Vienna Your Hotel In The City Center,Schubertring 10 12 01 Innere Stadt 1010 Vienna Austria,282,8.6,10771,2378,9146,48.2022415,16.3749336
Hotel Am Schubertring,Schubertring 11 01 Innere Stadt 1010 Vienna Austria,127,8.2,5876,1259,5136,48.2017277,16.375463
The Ritz Carlton Vienna,Schubertring 5 7 01 Innere Stadt 1010 Vienna Austria,77,8.9,2217,470,2032,48.2022742,16.3762615
Hotel K nig von Ungarn,Schulerstra e 10 01 Innere Stadt 1010 Vienna Austria,138,9.3,2167,1207,7312,48.2082215,16.3751842
Hotel Domizil,Schulerstra e 14 01 Innere Stadt 1010 Vienna Austria,113,8.9,2983,1558,4669,48.2080479,16.375612
Hotel Capricorno,Schwedenplatz 3 4 01 Innere Stadt 1010 Vienna Austria,177,9.1,5162,2279,12711,48.2111522,16.3788631
Hotel Advance,Sep lveda 180 Eixample 08011 Barcelona Spain,18,8.3,333,156,568,NA,NA
Derag Livinghotel Kaiser Franz Joseph Vienna,Sieveringer Stra e 4 19 D bling 1190 Vienna Austria,115,8,2814,1496,2419,NA,NA
Room Mate Giulia,Silvio Pellico 4 Milan City Center 20121 Milan Italy,254,9.3,6016,2011,11831,45.4651371,9.1895249
Simm s Hotel,Simmeringer Hauptstra e 55 57 11 Simmering 1110 Vienna Austria,45,8.5,1315,849,1784,48.1790835,16.4116997
Hotel Esther a,Singel 303 309 Amsterdam City Center 1012 WJ Amsterdam Netherlands,834,9.1,24900,4687,41071,52.3705447,4.8886439
Hotel Royal,Singerstra e 3 01 Innere Stadt 1010 Vienna Austria,74,8.6,2818,840,2648,48.2078727,16.3724042
Sloane Square Hotel,Sloane Square Kensington and Chelsea London SW1W 8EG United Kingdom,279,8.2,8231,1140,6549,51.4927325,-0.1573708
Best Western Plus Hotel Blue Square,Slotermeerlaan 80 Geuzenveld Slotermeer 1064 HD Amsterdam Netherlands,407,7.3,14326,3161,10524,52.3786823,4.8207833
Austria Trend Hotel Ananas Wien,Sonnenhofgasse 8 10 05 Margareten 1050 Vienna Austria,284,8.2,11678,4217,9714,48.1915401,16.3546263
Hotel Zeitgeist Vienna Hauptbahnhof,Sonnwendgasse 15 10 Favoriten 1100 Vienna Austria,59,8.7,1462,841,2289,48.1829645,16.3776709
AZIMUT Hotel Vienna,Sonnwendgasse 8 10 Favoriten 1100 Vienna Austria,102,8.2,2910,1060,2804,48.1834787,16.3762765
Hilton London Canary Wharf,South Quay Marsh Wall Tower Hamlets London E14 9SH United Kingdom,974,9,21654,3040,25332,51.5007324,-0.01655
Grange Holborn Hotel,Southampton Row Bloomsbury Camden London WC1B 4AR United Kingdom,224,8.4,7236,845,5250,51.519616,-0.1218432
WestCord Art Hotel Amsterdam 4 stars,Spaarndammerdijk 304 Westerpark 1013 ZX Amsterdam Netherlands,252,8.5,8862,1712,10937,52.3924898,4.8683822
W Amsterdam,Spuistraat 175 Amsterdam City Center 1012 VN Amsterdam Netherlands,152,8.4,5477,802,3750,52.3727871,4.8900059
NH City Centre Amsterdam,Spuistraat 288 292 Amsterdam City Center 1012 VX Amsterdam Netherlands,407,8.2,18581,3417,11861,52.3697554,4.8887815
The Stafford London,St James s Place Westminster Borough London SW1A 1NJ United Kingdom,139,9.1,3803,492,3838,51.5059087,-0.1403795
The Tower A Guoman Hotel,St Katherines Way Tower Hamlets London E1W 1LD United Kingdom,950,8.6,30187,3486,28473,51.5064721,-0.0716893
Ramada Apollo Amsterdam Centre,Staalmeesterslaan 410 Slotervaart 1057 PH Amsterdam Netherlands,926,8.2,41481,5770,38609,52.3681299,4.8440847
Amsterdam Marriott Hotel,Stadhouderskade 12 Oud West 1054 ES Amsterdam Netherlands,243,8.1,8344,1556,5035,52.362514,4.8800077
